Schools,Colleges,Hospitals,Gyms,Boys_Hostels,Girls_Hostels,Turfs,Parking_Spaces,Competitors,Rent_Cost,Daily_Footfall,Avg_Income,Shop_Area_SqFt,Dist_To_Transit,Best_Shop_Type,Area_Type,Dominant_Age_Group
3.0,3.0,5.0,4.0,4.0,2.0,0.0,8.0,0.0,30342.0,5108.0,24469.0,2606.0,1586.0,Pharmacy,Semi-Urban,Seniors
3.0,1.0,5.0,3.0,6.0,,4.0,19.0,1.0,55458.0,9749.0,38904.0,2985.0,1579.0,Pharmacy,Urban,Kids
0.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,2.0,44940.0,4949.0,87083.0,2299.0,136.0,Beauty Parlor,Urban,Adults
6.0,3.0,0.0,5.0,5.0,9.0,0.0,17.0,5.0,54211.0,6083.0,138835.0,1307.0,1815.0,Beauty Parlor,Rural,Kids
8.0,4.0,2.0,5.0,7.0,7.0,4.0,20.0,6.0,19128.0,3539.0,124798.0,231.0,1878.0,Beauty Parlor,Rural,
2.0,1.0,1.0,2.0,7.0,0.0,2.0,13.0,7.0,67175.0,13915.0,89450.0,837.0,,Barber Shop,Semi-Urban,Seniors
1.0,1.0,1.0,4.0,9.0,8.0,2.0,13.0,8.0,73870.0,14100.0,136454.0,1607.0,748.0,Beauty Parlor,Semi-Urban,Kids
2.0,0.0,3.0,2.0,9.0,9.0,3.0,7.0,6.0,61855.0,642.0,46591.0,3707.0,1036.0,Barber Shop,Semi-Urban,Teens
,5.0,3.0,0.0,7.0,5.0,2.0,22.0,5.0,63810.0,1476.0,86378.0,483.0,476.0,Clothing Store,Urban,Kids
5.0,0.0,4.0,1.0,5.0,4.0,3.0,24.0,4.0,34691.0,836.0,94822.0,1505.0,1700.0,Supermarket,Urban,Seniors
6.0,4.0,3.0,5.0,5.0,7.0,3.0,16.0,9.0,20685.0,10518.0,85399.0,3694.0,492.0,Fast Food,Rural,Seniors
1.0,1.0,5.0,0.0,2.0,3.0,4.0,17.0,1.0,24530.0,5288.0,40289.0,1197.0,1917.0,Pharmacy,Urban,Seniors
7.0,1.0,5.0,1.0,1.0,8.0,0.0,14.0,7.0,74347.0,13803.0,101216.0,3893.0,370.0,Supermarket,Rural,Kids
5.0,2.0,4.0,4.0,4.0,4.0,1.0,9.0,4.0,68600.0,6544.0,66680.0,3794.0,1086.0,Pharmacy,Rural,Kids
3.0,4.0,0.0,1.0,8.0,0.0,1.0,19.0,9.0,14909.0,11115.0,49512.0,434.0,416.0,Barber Shop,Semi-Urban,Seniors
4.0,5.0,2.0,1.0,3.0,7.0,2.0,15.0,1.0,39029.0,7871.0,52813.0,3857.0,1330.0,Supermarket,Rural,Seniors
7.0,5.0,1.0,3.0,4.0,8.0,4.0,6.0,2.0,49889.0,14893.0,147603.0,261.0,1246.0,Beauty Parlor,Urban,Seniors
2.0,5.0,0.0,1.0,16.483132599567394,4.0,1.0,28.0,9.0,,2520.0,139651.0,2121.0,123.0,Supermarket,Rural,Seniors
2.0,4.0,5.0,3.0,5.0,4.0,0.0,28.0,9.0,42666.0,9280.0,98172.0,1642.0,191.0,Supermarket,,Adults
3.0,2.0,0.0,1.0,3.0,5.0,3.0,16.0,6.0,61128.0,5658.0,81705.0,808.0,1991.0,Clothing Store,Rural,Kids
0.0,2.0,4.0,3.0,3.0,8.0,3.0,4.0,9.0,59707.0,2036.0,74874.0,2359.0,1712.0,Beauty Parlor,Rural,Kids
8.0,0.0,2.0,4.0,7.0,4.0,4.0,17.0,7.0,68437.0,9252.0,91698.0,3285.0,1503.0,Supermarket,Urban,Seniors
7.0,4.0,5.0,4.0,4.0,1.0,2.0,13.0,4.0,11942.0,10048.0,72050.0,3408.0,150.0,Pharmacy,Rural,Teens
7.0,4.0,4.0,1.0,4.0,2.0,0.0,17.0,9.0,65841.0,843.0,126100.0,206.0,1285.0,Beauty Parlor,Semi-Urban,Teens
5.0,2.0,0.0,2.0,8.0,9.0,2.0,17.0,7.0,32040.0,,113812.0,3294.0,1833.0,Supermarket,Urban,Teens
6.0,3.0,1.0,4.0,3.0,2.0,2.0,14.0,9.0,66202.0,,84787.0,2560.0,299.0,Supermarket,Semi-Urban,Kids
5.0,3.0,3.0,0.0,6.0,8.0,4.0,24.0,9.0,75673.0,11640.0,67516.0,1678.0,96.0,Supermarket,Urban,Kids
8.0,0.0,4.0,0.0,4.0,7.0,3.0,10.0,5.0,43673.0,5546.0,27796.0,1416.0,748.0,Pharmacy,,Seniors
2.0,3.0,5.0,3.0,8.0,5.0,2.0,25.0,1.0,42017.0,1345.0,141794.0,,909.0,Pharmacy,Semi-Urban,Adults
2.0,3.0,0.0,2.0,7.0,4.0,2.0,4.0,1.0,55041.0,4153.0,107317.0,2816.0,1469.0,Beauty Parlor,Semi-Urban,Teens
2.0,3.0,3.0,5.0,7.0,9.0,0.0,15.0,7.0,13259.0,12149.0,56535.0,3189.0,1898.0,Supermarket,Urban,Teens
2.0,1.0,3.0,3.0,9.0,1.0,3.0,7.0,3.0,28760.0,13152.0,63477.0,554.0,1537.0,Barber Shop,Urban,Teens
8.0,0.0,0.0,1.0,9.0,8.0,2.0,12.0,7.0,63292.0,9962.0,36860.0,1773.0,1138.0,Barber Shop,Urban,Seniors
3.0,2.0,2.0,4.0,2.0,9.0,1.0,25.0,8.0,33401.0,9189.0,132150.0,443.0,963.0,Beauty Parlor,Urban,Adults
6.0,,0.0,2.0,8.0,7.0,1.0,21.0,5.0,24216.0,5431.0,97735.0,1846.0,757.0,Supermarket,Semi-Urban,Teens
8.0,5.0,5.0,3.0,7.0,4.0,3.0,26.0,8.0,32935.0,5682.0,149398.0,2255.0,1655.0,Supermarket,Rural,Teens
6.0,1.0,1.0,3.0,2.0,5.0,3.0,16.0,5.0,49553.0,6211.0,49401.0,1190.0,619.0,Coolbar,Urban,Kids
8.0,3.0,5.0,0.0,9.0,8.0,4.0,25.0,2.0,53686.0,3415.0,74190.0,1242.0,740.0,Stationery,Semi-Urban,Adults
2.0,1.0,3.0,1.0,0.0,0.0,2.0,8.0,7.0,30268.0,3566.0,75924.0,1164.0,879.0,Sports Nutrition,Semi-Urban,Teens
3.0,0.0,1.0,3.0,4.0,3.0,1.0,14.0,0.0,32681.0,,52446.0,2793.0,1954.0,Supermarket,Semi-Urban,Kids
7.0,5.0,4.0,0.0,3.0,4.0,1.0,6.0,5.0,52427.0,10312.0,39285.0,3955.0,1181.0,Stationery,Rural,Adults
5.0,5.0,3.0,2.0,7.0,8.0,3.0,26.0,2.0,42964.0,11844.0,49605.0,663.0,980.0,Stationery,,Seniors
4.0,5.0,2.0,3.0,5.0,4.0,3.0,17.0,9.0,60916.0,7734.0,47272.0,3534.0,765.0,Fast Food,Semi-Urban,Teens
3.0,3.0,0.0,5.0,9.0,4.0,0.0,13.0,,56197.0,3147.0,125428.0,1072.0,844.0,Beauty Parlor,Rural,Seniors
7.0,1.0,4.0,5.0,4.0,2.0,0.0,7.0,2.0,29230.0,7609.0,93315.0,2268.0,,Pharmacy,Urban,Seniors
0.0,5.0,5.0,0.0,8.0,7.0,3.0,1.0,8.0,32910.0,14150.0,25809.0,243.0,1614.0,Barber Shop,Semi-Urban,Seniors
8.0,4.0,1.0,16.040436945763584,5.0,6.0,0.0,17.0,6.0,25357.0,9813.0,144604.0,3552.0,1116.0,Supermarket,Rural,Seniors
0.0,4.0,4.0,1.0,2.0,7.0,3.0,3.0,1.0,37907.0,,25615.0,2228.0,422.0,Pharmacy,Urban,Kids
7.0,1.0,2.0,4.0,5.0,3.0,3.0,23.0,5.0,67050.0,2505.0,139523.0,3401.0,1090.0,Supermarket,,Kids
3.0,3.0,0.0,5.0,3.0,7.0,4.0,22.0,3.0,78808.0,14305.0,39295.0,2183.0,1067.0,Supermarket,Urban,Adults
8.0,3.0,4.0,2.0,4.0,9.0,0.0,1.0,9.0,71557.0,6390.0,145279.0,527.0,89.0,Beauty Parlor,Rural,Adults
4.0,0.0,5.0,3.0,5.0,3.0,2.0,9.0,6.0,59665.0,1178.0,48797.0,2842.0,303.0,Pharmacy,Urban,Seniors
2.0,0.0,1.0,0.0,8.0,0.0,,5.0,3.0,44022.0,3018.0,107265.0,2353.0,1164.0,Supermarket,Urban,Seniors
8.0,5.0,4.0,,2.0,3.0,4.0,10.0,6.0,54816.0,11006.0,31068.0,812.0,746.0,Fast Food,Rural,Seniors
8.0,2.0,0.0,4.0,0.0,4.0,2.0,26.0,5.0,31520.0,10451.0,148918.0,3098.0,951.0,Supermarket,Rural,Adults
,0.0,5.0,3.0,1.0,9.0,2.0,19.0,7.0,31999.0,1890.0,24633.0,3964.0,405.0,Pharmacy,Semi-Urban,Teens
3.0,3.0,4.0,3.0,7.0,7.0,4.0,9.0,6.0,30391.0,5905.0,61077.0,2044.0,236.0,Pharmacy,Urban,Teens
7.0,2.0,1.0,0.0,3.0,9.0,1.0,28.0,8.0,63617.0,7461.0,64495.0,3720.0,1004.0,Supermarket,Rural,Seniors
1.0,0.0,0.0,4.0,6.0,5.0,4.0,16.0,3.0,27879.0,10199.0,27397.0,3171.0,670.0,Supermarket,Urban,Teens
8.0,1.0,2.0,2.0,1.0,9.0,4.0,23.0,8.0,13629.0,3126.0,38672.0,2095.0,934.0,Supermarket,Urban,
5.0,4.0,2.0,0.0,9.0,,0.0,7.0,4.0,74369.0,4259.0,130594.0,2709.0,1828.0,Beauty Parlor,,Teens
8.0,0.0,3.0,4.0,7.0,2.0,2.0,5.0,8.0,16782.0,12379.0,45068.0,862.0,1016.0,Barber Shop,Urban,Adults
7.0,0.0,4.0,4.0,9.0,3.0,2.0,15.0,3.0,70877.0,4379.0,141025.0,2639.0,1628.0,Supermarket,Urban,Kids
6.0,1.0,1.0,3.0,8.0,5.0,1.0,9.0,2.0,18406.0,14551.0,113347.0,1258.0,683.0,Stationery,Semi-Urban,Adults
0.0,3.0,4.0,1.0,6.0,,4.0,29.0,6.0,79168.0,9987.0,120168.0,1702.0,1457.0,Supermarket,Semi-Urban,Adults
2.0,5.0,0.0,1.0,9.0,5.0,3.0,22.0,3.0,21664.0,1683.0,56730.0,3422.0,133.0,Supermarket,Semi-Urban,Seniors
1.0,1.0,3.0,2.0,0.0,1.0,1.0,27.0,4.0,46541.0,5463.0,79607.0,2549.0,1531.0,Supermarket,Urban,Kids
4.0,5.0,1.0,3.0,1.0,7.0,1.0,28.0,2.0,,2777.0,115728.0,3342.0,960.0,Supermarket,Rural,Adults
4.0,0.0,4.0,1.0,8.0,7.0,2.0,18.0,5.0,57058.0,12377.0,136140.0,3785.0,64.0,Supermarket,Semi-Urban,Teens
4.0,3.0,1.0,0.0,9.0,5.0,2.0,24.0,3.0,23947.0,13285.0,47611.0,1434.0,136.0,Fast Food,Rural,Adults
3.0,2.0,0.0,2.0,6.0,3.0,2.0,3.0,0.0,48763.0,7615.0,87526.0,2339.0,59.0,Supermarket,Urban,Kids
4.0,0.0,3.0,3.0,2.0,1.0,2.0,26.0,1.0,44522.0,12315.0,68217.0,749.0,1909.0,Pharmacy,Urban,Adults
2.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,7.0,32524.0,10945.0,148813.0,235.0,1874.0,Beauty Parlor,Rural,Teens
0.0,2.0,0.0,0.0,0.0,5.0,4.0,19.0,3.0,55371.0,698.0,37728.0,1659.0,1533.0,Supermarket,Semi-Urban,Seniors
4.0,4.0,2.0,1.0,9.0,9.0,2.0,1.0,9.0,71910.0,11061.0,109704.0,1704.0,1850.0,Beauty Parlor,Rural,Seniors
8.0,2.0,1.0,1.0,2.0,2.0,0.0,11.0,1.0,19824.0,11099.0,30092.0,1604.0,1484.0,Stationery,Rural,
8.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,59075.0,14206.0,38024.0,1919.0,495.0,Stationery,Semi-Urban,Kids
3.0,2.0,5.0,1.0,3.0,3.0,3.0,15.0,6.0,49957.0,957.0,136642.0,2777.0,939.0,Supermarket,Rural,Adults
2.0,1.0,5.0,4.0,6.0,7.0,3.0,1.0,1.0,47964.0,4058.0,57713.0,2669.0,1084.0,Pharmacy,Semi-Urban,Adults
0.0,0.0,1.0,5.0,4.0,4.0,4.0,15.0,5.0,70629.0,9593.0,68119.0,337.0,273.0,Sports Nutrition,Semi-Urban,
1.0,3.0,1.0,2.0,8.0,2.0,1.0,27.0,0.0,52438.0,11900.0,73973.0,993.0,1472.0,Clothing Store,Urban,Adults
7.0,4.0,0.0,2.0,6.0,4.0,1.0,14.0,2.0,11573.0,6534.0,116460.0,3911.0,248.0,Stationery,Semi-Urban,Kids
0.0,3.0,4.0,1.0,1.0,8.0,1.0,13.0,8.0,77136.0,12940.0,124847.0,406.0,1675.0,Beauty Parlor,Semi-Urban,Teens
7.0,3.0,5.0,2.0,7.0,7.0,0.0,10.0,4.0,57794.0,8312.0,69710.0,1538.0,1337.0,Pharmacy,Urban,Teens
6.0,3.0,4.0,5.0,1.0,9.0,0.0,14.0,7.0,69774.0,13097.0,110226.0,664.0,374.0,Beauty Parlor,Urban,Seniors
7.0,1.0,5.0,0.0,6.0,6.0,2.0,,0.0,65446.0,12214.0,66940.0,1992.0,243.0,Supermarket,Rural,Teens
5.0,1.0,1.0,,4.0,3.0,3.0,5.0,3.0,26142.0,13239.0,60724.0,1110.0,1203.0,Fast Food,Urban,Kids
8.0,4.0,3.0,2.0,9.0,1.0,0.0,29.0,2.0,63611.0,2815.0,75273.0,3873.0,507.0,Supermarket,Semi-Urban,Adults
2.0,1.0,3.0,1.0,5.0,8.0,3.0,23.0,9.0,77918.0,1401.0,,317.0,962.0,Clothing Store,Semi-Urban,Seniors
3.0,5.0,5.0,3.0,3.0,2.0,1.0,26.0,8.0,77870.0,7400.0,58876.0,2571.0,382.0,Supermarket,Rural,Kids
5.0,1.0,5.0,5.0,4.0,5.0,0.0,15.0,6.0,29355.0,4797.0,40171.0,2466.0,,Pharmacy,Rural,Kids
7.0,1.0,0.0,1.0,4.0,6.0,3.0,0.0,2.0,49337.0,14670.0,93991.0,2159.0,1537.0,Fast Food,Rural,Teens
4.0,1.0,1.0,4.0,6.0,2.0,0.0,24.0,0.0,76336.0,,69481.0,462.0,1912.0,Stationery,Semi-Urban,Adults
2.0,0.0,1.0,3.0,3.0,2.0,1.0,27.0,4.0,63654.0,8266.0,97281.0,1387.0,1149.0,Clothing Store,,Adults
5.0,4.0,4.0,5.0,4.0,2.0,1.0,10.0,9.0,26804.0,1636.0,42702.0,1972.0,53.0,Bakery,Rural,Kids
3.0,,0.0,4.0,3.0,2.0,1.0,13.0,2.0,49146.0,14105.0,58099.0,827.0,1830.0,Stationery,Rural,Adults
8.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,43418.0,12689.0,132335.0,3492.0,80.0,Beauty Parlor,Semi-Urban,Seniors
2.0,4.0,3.0,4.0,7.0,6.0,3.0,23.0,2.0,64027.0,5784.0,84425.0,503.0,273.0,Pharmacy,Semi-Urban,Teens
3.0,2.0,3.0,2.0,4.0,4.0,2.0,15.0,4.0,32804.0,1007.0,98188.0,1116.0,1813.0,Pharmacy,Urban,Teens
6.0,0.0,1.0,4.0,8.0,3.0,4.0,3.0,4.0,62512.0,12509.0,141226.0,2051.0,948.0,Beauty Parlor,Urban,Kids
6.0,1.0,0.0,3.0,4.0,5.0,4.0,13.0,9.0,12535.0,5772.0,47192.0,1878.0,1114.0,Fast Food,Semi-Urban,Kids
3.0,5.0,2.0,4.0,7.0,7.0,0.0,15.0,7.0,42664.0,13871.0,77071.0,3790.0,696.0,Supermarket,Rural,Kids
,0.0,3.0,1.0,2.0,1.0,0.0,14.0,3.0,45874.0,13697.0,149485.0,2486.0,1267.0,Supermarket,Rural,Adults
2.0,5.0,0.0,2.0,6.0,2.0,0.0,1.0,1.0,19078.0,8758.0,132990.0,2097.0,,Beauty Parlor,Semi-Urban,Seniors
5.0,0.0,2.0,0.0,0.0,1.0,2.0,12.0,7.0,74636.0,5223.0,77214.0,1699.0,227.0,Supermarket,Urban,Adults
1.0,2.0,5.0,4.0,4.0,6.0,1.0,16.0,7.0,19363.0,3127.0,108487.0,900.0,1645.0,Beauty Parlor,Semi-Urban,Adults
7.0,4.0,,2.0,1.0,1.0,0.0,27.0,9.0,63864.0,9367.0,49426.0,2768.0,1016.0,Supermarket,Semi-Urban,Seniors
1.0,0.0,4.0,0.0,7.0,4.0,0.0,19.0,7.0,43675.0,,36033.0,892.0,352.0,Pharmacy,Semi-Urban,Adults
6.0,3.0,3.0,2.0,5.0,9.0,4.0,9.0,0.0,71536.0,1531.0,42915.0,2085.0,1642.0,Stationery,Rural,Teens
8.0,2.0,3.0,2.0,4.0,8.0,1.0,14.0,8.0,39662.0,1804.0,63697.0,1466.0,389.0,Stationery,Urban,Teens
0.0,3.0,2.0,0.0,2.0,7.0,2.0,16.0,3.0,36592.0,12183.0,51993.0,3520.0,455.0,Supermarket,Urban,Seniors
7.0,2.0,4.0,0.0,0.0,7.0,1.0,7.0,3.0,17421.0,14353.0,147791.0,3891.0,1351.0,Beauty Parlor,Semi-Urban,
6.0,3.0,5.0,3.0,9.0,2.0,4.0,1.0,7.0,33927.0,10342.0,128934.0,3988.0,1930.0,Beauty Parlor,Semi-Urban,Seniors
5.0,3.0,0.0,5.0,9.0,0.0,2.0,23.0,7.0,52170.0,13122.0,85919.0,3445.0,1859.0,Supermarket,Semi-Urban,Teens
5.0,5.0,1.0,4.0,9.0,1.0,3.0,25.0,5.0,64547.0,4783.0,97481.0,2984.0,763.0,Supermarket,Urban,Adults
5.0,0.0,0.0,4.0,9.0,6.0,0.0,0.0,3.0,16948.0,5408.0,41605.0,3209.0,751.0,Barber Shop,Urban,Seniors
8.0,0.0,2.0,2.0,7.0,3.0,2.0,22.0,2.0,10203.0,2264.0,50144.0,3355.0,931.0,Supermarket,Semi-Urban,Kids
1.0,2.0,3.0,1.0,4.0,9.0,4.0,22.0,4.0,73521.0,1058.0,23889.0,3380.0,534.0,Supermarket,Semi-Urban,Teens
0.0,4.0,5.0,,8.0,4.0,1.0,4.0,7.0,78101.0,4261.0,68761.0,2026.0,1853.0,Pharmacy,Urban,Kids
5.0,5.0,3.0,5.0,6.0,0.0,2.0,2.0,6.0,43325.0,9541.0,121933.0,2337.0,1102.0,Sports Nutrition,Urban,Teens
7.0,0.0,0.0,2.0,0.0,1.0,4.0,21.0,7.0,46470.0,8659.0,106871.0,1354.0,308.0,Clothing Store,Urban,Kids
2.0,0.0,5.0,3.0,0.0,8.0,2.0,10.0,0.0,24308.0,2589.0,108105.0,3696.0,1960.0,Pharmacy,Semi-Urban,Kids
0.0,5.0,1.0,0.0,6.0,5.0,,15.0,3.0,61313.0,2725.0,75387.0,3066.0,1611.0,Supermarket,Urban,Seniors
8.0,1.0,2.0,2.0,6.0,6.0,1.0,20.0,,36175.0,14586.0,143159.0,1244.0,514.0,Beauty Parlor,,Kids
0.0,5.0,1.0,4.0,8.0,4.0,1.0,8.0,5.0,51567.0,8669.0,103788.0,1764.0,773.0,Supermarket,Urban,Teens
2.0,0.0,2.0,1.0,1.0,8.0,2.0,3.0,9.0,15291.0,8695.0,120069.0,3002.0,229.0,Beauty Parlor,Rural,Kids
7.0,4.0,1.0,1.0,6.0,9.0,4.0,8.0,7.0,18202.0,13097.0,97961.0,1480.0,1044.0,Fast Food,Urban,Kids
2.0,1.0,0.0,1.0,1.0,4.0,0.0,13.0,7.0,68947.0,12380.0,43321.0,2396.0,,Supermarket,Urban,Adults
3.0,,4.0,3.0,9.0,5.0,0.0,9.0,4.0,67660.0,10400.0,48541.0,2358.0,1560.0,Pharmacy,Semi-Urban,Adults
7.0,5.0,5.0,4.0,9.0,9.0,2.0,21.0,7.0,30023.0,13586.0,149398.0,2994.0,639.0,Supermarket,Semi-Urban,Kids
0.0,3.0,2.0,3.0,1.0,8.0,3.0,15.0,3.0,75309.0,5699.0,109473.0,,923.0,Supermarket,Semi-Urban,Adults
5.0,1.0,0.0,0.0,4.0,4.0,2.0,8.0,5.0,,14896.0,92928.0,2560.0,1754.0,Bakery,Rural,Seniors
0.0,1.0,3.0,2.0,8.0,3.0,0.0,2.0,6.0,13031.0,7840.0,139131.0,3873.0,1323.0,Beauty Parlor,Rural,Teens
0.0,1.0,3.0,2.0,8.0,4.0,1.0,27.0,5.0,23824.0,2925.0,105338.0,371.0,1726.0,Clothing Store,Urban,Adults
7.0,2.0,1.0,1.0,9.0,4.0,2.0,29.0,5.0,69563.0,10102.0,96485.0,867.0,1961.0,Clothing Store,Semi-Urban,Adults
3.0,5.0,3.0,1.0,0.0,,2.0,28.0,7.0,30290.0,9634.0,41180.0,1579.0,1753.0,Supermarket,Semi-Urban,Teens
0.0,4.0,4.0,0.0,6.0,,1.0,0.0,4.0,28817.0,2550.0,88025.0,2730.0,1677.0,Pharmacy,Semi-Urban,Kids
,4.0,2.0,3.0,9.0,4.0,2.0,27.0,7.0,77176.0,976.0,84762.0,3700.0,1046.0,Supermarket,Urban,Seniors
4.0,3.0,1.0,5.0,9.0,4.0,4.0,21.0,8.0,71189.0,7750.0,133202.0,3228.0,100.0,Supermarket,Semi-Urban,Kids
4.0,3.0,2.0,5.0,2.0,0.0,1.0,19.0,3.0,42937.0,12846.0,147568.0,3333.0,913.0,Supermarket,Semi-Urban,Adults
0.0,3.0,2.0,5.0,9.0,3.0,1.0,10.0,2.0,77344.0,7702.0,35615.0,3678.0,1971.0,Barber Shop,Urban,
5.0,5.0,0.0,4.0,9.0,7.0,1.0,25.0,4.0,51380.0,808.0,77824.0,1097.0,213.0,Stationery,Semi-Urban,Teens
8.0,0.0,3.0,0.0,0.0,3.0,0.0,19.0,9.0,20155.0,10115.0,106862.0,2038.0,319.0,Supermarket,Rural,Kids
8.0,3.0,5.0,2.0,1.0,6.0,2.0,19.0,9.0,62436.0,8043.0,62157.0,3340.0,817.0,Supermarket,Semi-Urban,Kids
7.0,1.0,2.0,,5.0,5.0,3.0,,4.0,21947.0,11942.0,141346.0,522.0,1068.0,Beauty Parlor,Rural,Adults
4.0,3.0,4.0,3.0,9.0,4.0,2.0,4.0,6.0,62382.0,2701.0,60777.0,1488.0,715.0,Barber Shop,Semi-Urban,
0.0,1.0,4.0,0.0,1.0,8.0,2.0,8.0,2.0,36844.0,5273.0,109948.0,3327.0,1779.0,Pharmacy,Semi-Urban,Seniors
8.0,2.0,5.0,4.0,1.0,7.0,0.0,2.0,,72348.0,9060.0,78950.0,2800.0,1980.0,Bakery,Urban,Teens
0.0,0.0,,0.0,3.0,4.0,4.0,11.0,8.0,30960.0,11831.0,80721.0,3613.0,762.0,Supermarket,Rural,Seniors
7.0,0.0,3.0,0.0,2.0,9.0,4.0,17.0,5.0,40483.0,12132.0,29763.0,3291.0,1123.0,Coolbar,Urban,Adults
4.0,5.0,1.0,3.0,7.0,6.0,0.0,27.0,9.0,21950.0,8085.0,96467.0,,533.0,Clothing Store,Urban,Teens
2.0,5.0,1.0,4.0,7.0,8.0,0.0,1.0,8.0,20432.0,8934.0,148043.0,2800.0,1454.0,Beauty Parlor,Urban,Kids
6.0,4.0,1.0,5.0,5.0,6.0,0.0,9.0,0.0,66115.0,2824.0,108661.0,3051.0,1400.0,Stationery,Semi-Urban,Teens
6.0,2.0,3.0,2.0,3.0,,2.0,6.0,,14414.0,,24574.0,523.0,468.0,Stationery,Urban,Seniors
8.0,5.0,2.0,1.0,6.0,9.0,0.0,29.0,9.0,42007.0,4014.0,125958.0,2153.0,1026.0,Supermarket,Semi-Urban,Seniors
6.0,1.0,0.0,5.0,8.0,4.0,3.0,21.0,1.0,36872.0,10828.0,83757.0,2087.0,779.0,Supermarket,,Adults
2.0,2.0,5.0,4.0,1.0,8.0,1.0,17.0,7.0,72216.0,14070.0,95457.0,1942.0,974.0,Supermarket,Semi-Urban,Seniors
0.0,0.0,5.0,2.0,5.0,8.0,4.0,15.0,,49675.0,10976.0,111824.0,342.0,1623.0,Pharmacy,Rural,Kids
7.0,1.0,,5.0,6.0,7.0,3.0,12.0,6.0,62129.0,2859.0,122341.0,1159.0,338.0,Sports Nutrition,Semi-Urban,Teens
2.0,2.0,1.0,3.0,0.0,5.0,4.0,0.0,3.0,21510.0,8881.0,46194.0,3736.0,1404.0,Coolbar,Urban,Adults
7.0,0.0,0.0,4.0,5.0,6.0,2.0,6.0,3.0,57061.0,9420.0,86714.0,1521.0,275.0,Stationery,Rural,Kids
7.0,5.0,4.0,4.0,7.0,6.0,2.0,29.0,7.0,72972.0,,90085.0,3173.0,439.0,Supermarket,Rural,Adults
4.0,1.0,3.0,2.0,6.0,0.0,0.0,10.0,9.0,23549.0,6215.0,20001.0,3371.0,1219.0,Barber Shop,Urban,Teens
0.0,1.0,4.0,2.0,1.0,7.0,4.0,5.0,3.0,10701.0,514.0,130585.0,3284.0,208.0,Beauty Parlor,Urban,Kids
6.0,0.0,1.0,0.0,1.0,5.0,2.0,20.0,2.0,29455.0,3765.0,146540.0,781.0,1920.0,Beauty Parlor,Urban,Kids
4.0,1.0,2.0,0.0,3.0,6.0,2.0,4.0,9.0,18918.0,9457.0,90134.0,998.0,783.0,Beauty Parlor,Semi-Urban,Adults
7.0,5.0,1.0,4.0,4.0,9.0,4.0,9.0,8.0,78160.0,12520.0,63054.0,3671.0,796.0,Fast Food,Urban,Adults
8.0,5.0,0.0,1.0,4.0,9.0,2.0,28.0,2.0,18141.0,13841.0,144091.0,3547.0,1918.0,Supermarket,Rural,Teens
6.0,5.0,1.0,3.0,1.0,1.0,0.0,2.0,4.0,56771.0,13247.0,106665.0,2057.0,1206.0,Stationery,Urban,Adults
6.0,0.0,5.0,2.0,6.0,6.0,2.0,26.0,0.0,78208.0,11930.0,37596.0,2903.0,1797.0,Supermarket,Semi-Urban,Adults
0.0,3.0,2.0,0.0,7.0,7.0,3.0,14.0,8.0,29493.0,1331.0,45895.0,2026.0,345.0,Barber Shop,Urban,Seniors
3.0,3.0,2.0,3.0,1.0,4.0,3.0,11.0,5.0,22199.0,1769.0,107044.0,1413.0,,Beauty Parlor,Semi-Urban,Seniors
1.0,1.0,3.0,5.0,3.0,0.0,0.0,4.0,4.0,,4268.0,126253.0,666.0,480.0,Sports Nutrition,Rural,Seniors
1.0,5.0,3.0,5.0,2.0,5.0,3.0,13.0,3.0,68119.0,4578.0,77566.0,1476.0,880.0,Pharmacy,Rural,
1.0,1.0,5.0,4.0,3.0,2.0,2.0,11.0,7.0,30255.0,11058.0,60024.0,3438.0,899.0,Pharmacy,Rural,Adults
3.0,0.0,2.0,2.0,4.0,4.0,3.0,21.0,1.0,71871.0,14842.0,102629.0,1963.0,604.0,Supermarket,Rural,Kids
0.0,1.0,5.0,,5.0,8.0,3.0,10.0,9.0,37916.0,4681.0,50027.0,1447.0,1587.0,Sports Nutrition,Semi-Urban,Teens
3.0,4.0,2.0,2.0,1.0,6.0,2.0,22.0,4.0,12170.0,5947.0,106466.0,2678.0,381.0,Supermarket,Rural,Seniors
1.0,3.0,0.0,0.0,9.0,7.0,4.0,22.0,7.0,33578.0,8906.0,121998.0,810.0,1477.0,Clothing Store,Urban,Teens
4.0,1.0,1.0,5.0,5.0,5.0,0.0,12.0,0.0,28093.0,4106.0,91921.0,3004.0,418.0,Supermarket,Rural,Kids
2.0,1.0,3.0,1.0,8.0,8.0,4.0,9.0,2.0,69974.0,8683.0,123574.0,1933.0,811.0,Supermarket,Rural,Kids
7.0,2.0,0.0,5.0,7.0,2.0,4.0,9.0,6.0,23140.0,11583.0,56288.0,3132.0,804.0,Fast Food,Semi-Urban,Kids
3.0,1.0,1.0,2.0,0.0,0.0,3.0,23.0,9.0,66636.0,6905.0,103022.0,2238.0,329.0,Supermarket,Urban,Seniors
